# Wavelength Flux
8432.5000000000 2607.1864093438
8432.7500000000 2611.2425419038
8433.0000000000 2612.5610145385
8433.2500000000 2608.1805404339
8433.5000000000 2602.2890413052
8433.7500000000 2603.7024281584
8434.0000000000 2609.2391413107
8434.2500000000 2609.7113065709
8434.5000000000 2602.6965742890
8434.7500000000 2600.9632292516
8435.0000000000 2606.7552029659
8435.2500000000 2608.7114839599
8435.5000000000 2606.5973578047
8435.7500000000 2596.8826674960
8436.0000000000 2588.4337014599
8436.2500000000 2575.1312123806
8436.5000000000 2537.0632503666
8436.7500000000 2446.1757078861
8437.0000000000 2319.9358267531
8437.2500000000 2238.7789584485
8437.5000000000 2253.6398270114
8437.7500000000 2280.7544535390
8438.0000000000 2313.2873062175
8438.2500000000 2424.0575334938
8438.5000000000 2539.0863433519
8438.7500000000 2588.2690103249
8439.0000000000 2595.8939996944
8439.2500000000 2600.7731337519
8439.5000000000 2606.3668143192
8439.7500000000 2611.0800510181
8440.0000000000 2610.4917035211
8440.2500000000 2609.5162819218
8440.5000000000 2600.9058900393
8440.7500000000 2580.1841595839
8441.0000000000 2542.3840835739
8441.2500000000 2485.9249465562
8441.5000000000 2395.0895783864
8441.7500000000 2287.2486684464
8442.0000000000 2287.9003717486
8442.2500000000 2411.4578913620
8442.5000000000 2520.8358367962
8442.7500000000 2565.3130340468
8443.0000000000 2572.2252897749
8443.2500000000 2578.9785322953
8443.5000000000 2591.8254773875
8443.7500000000 2593.1046782999
8444.0000000000 2587.2540306441
8444.2500000000 2591.7720399180
8444.5000000000 2602.5645813003
8444.7500000000 2606.1408488333
8445.0000000000 2606.6576841132
8445.2500000000 2601.5776636644
8445.5000000000 2594.6119639081
8445.7500000000 2574.9232495018
8446.0000000000 2534.3390817126
8446.2500000000 2500.3303634834
8446.5000000000 2499.3857191913
8446.7500000000 2533.7591953760
8447.0000000000 2570.1848294626
8447.2500000000 2590.9423086719
8447.5000000000 2596.5032911841
8447.7500000000 2590.4204799083
8448.0000000000 2567.4991241128
8448.2500000000 2497.8273771023
8448.5000000000 2398.2492225422
8448.7500000000 2333.0981865555
8449.0000000000 2374.5403979200
8449.2500000000 2473.2592803022
8449.5000000000 2548.5033200282
8449.7500000000 2582.8035334780
8450.0000000000 2590.6758255245
8450.2500000000 2592.4049433040
8450.5000000000 2601.1115604411
8450.7500000000 2604.2240101618
8451.0000000000 2606.1561798358
8451.2500000000 2604.5406629003
8451.5000000000 2599.0638754401
8451.7500000000 2581.7441707625
8452.0000000000 2553.8990280973
8452.2500000000 2519.9888231031
8452.5000000000 2511.4032654725
8452.7500000000 2528.8613461831
8453.0000000000 2544.5103387431
8453.2500000000 2552.6727325041
8453.5000000000 2570.9084432286
8453.7500000000 2591.8558008246
8454.0000000000 2598.8465717571
8454.2500000000 2598.6287282572
8454.5000000000 2598.5099455360
8454.7500000000 2600.2438345681
8455.0000000000 2598.2281465252
8455.2500000000 2597.6648598158
8455.5000000000 2597.9086320329
8455.7500000000 2597.9748046118
8456.0000000000 2596.8456131061
8456.2500000000 2596.2373770409
8456.5000000000 2594.8564358553
8456.7500000000 2598.9092362476
8457.0000000000 2595.7515600591
8457.2500000000 2588.6073167885
8457.5000000000 2574.7706930736
8457.7500000000 2568.4783252272
8458.0000000000 2571.7966159121
8458.2500000000 2575.7706697177
8458.5000000000 2574.2069598892
8458.7500000000 2571.9528003158
8459.0000000000 2569.8593691130
8459.2500000000 2564.5683504725
8459.5000000000 2569.6706289840
8459.7500000000 2577.0133230042
8460.0000000000 2577.7313208788
8460.2500000000 2578.2193487174
8460.5000000000 2581.1094454754
8460.7500000000 2573.5271398196
8461.0000000000 2535.7576359636
8461.2500000000 2506.2329615873
8461.5000000000 2516.7180027723
8461.7500000000 2551.5848824642
8462.0000000000 2571.0472097056
8462.2500000000 2576.0828798606
8462.5000000000 2572.5236560223
8462.7500000000 2581.2384560469
8463.0000000000 2589.2015309109
8463.2500000000 2596.3235627083
8463.5000000000 2595.8677335607
8463.7500000000 2594.5592313784
8464.0000000000 2594.5544059002
8464.2500000000 2599.0821866962
8464.5000000000 2599.6832025743
8464.7500000000 2599.1869902937
8465.0000000000 2597.1867525449
8465.2500000000 2593.1829010743
8465.5000000000 2579.9606226246
8465.7500000000 2564.2420249802
8466.0000000000 2556.2229642772
8466.2500000000 2553.5655978447
8466.5000000000 2566.1215152829
8466.7500000000 2581.6141769936
8467.0000000000 2587.4677758489
8467.2500000000 2581.9712687400
8467.5000000000 2569.1980687851
8467.7500000000 2555.0927600364
8468.0000000000 2540.8318562481
8468.2500000000 2527.2130088652
8468.5000000000 2511.4590576420
8468.7500000000 2503.0126601131
8469.0000000000 2515.7165990566
8469.2500000000 2541.2930516073
8469.5000000000 2558.3265493888
8469.7500000000 2560.5334554992
8470.0000000000 2527.5686291030
8470.2500000000 2408.2667730109
8470.5000000000 2202.4099571239
8470.7500000000 2089.6041139318
8471.0000000000 2205.5947498446
8471.2500000000 2404.7006372660
8471.5000000000 2528.0860142359
8471.7500000000 2568.3955325614
8472.0000000000 2576.1134294992
8472.2500000000 2574.0556784931
8472.5000000000 2577.4829792636
8472.7500000000 2582.2063666971
8473.0000000000 2579.4397625616
8473.2500000000 2568.4465824142
8473.5000000000 2537.7375012710
8473.7500000000 2470.9322079433
8474.0000000000 2412.6142852268
8474.2500000000 2431.2959710914
8474.5000000000 2496.8206947660
8474.7500000000 2542.4711589075
8475.0000000000 2567.4074009556
8475.2500000000 2579.5102083582
8475.5000000000 2577.8547631683
8475.7500000000 2561.5635760267
8476.0000000000 2549.8994994152
8476.2500000000 2556.7860952980
8476.5000000000 2574.1588296594
8476.7500000000 2584.6052067116
8477.0000000000 2587.6069697455
8477.2500000000 2589.7250791981
8477.5000000000 2590.1070115056
8477.7500000000 2590.0669004005
8478.0000000000 2589.0920113527
8478.2500000000 2585.8992520577
8478.5000000000 2579.9240998443
8478.7500000000 2573.2326970132
8479.0000000000 2572.0004105288
8479.2500000000 2570.5820019423
8479.5000000000 2570.3373275755
8479.7500000000 2570.0774794897
8480.0000000000 2575.6370235586
8480.2500000000 2579.8079760330
8480.5000000000 2578.6437804725
8480.7500000000 2577.3421379366
8481.0000000000 2580.3344617542
8481.2500000000 2583.2590394594
8481.5000000000 2582.8692596840
8481.7500000000 2575.3322038316
8482.0000000000 2567.6024210136
8482.2500000000 2565.4651747471
8482.5000000000 2559.8975376874
8482.7500000000 2553.2296299090
8483.0000000000 2555.0332695779
8483.2500000000 2559.3996253588
8483.5000000000 2552.9781239631
8483.7500000000 2519.1509766496
8484.0000000000 2449.3305498040
8484.2500000000 2392.2566482400
8484.5000000000 2419.7459550699
8484.7500000000 2499.0040827124
8485.0000000000 2549.7121653406
8485.2500000000 2559.3336889444
8485.5000000000 2562.6261192322
8485.7500000000 2568.5531059193
8486.0000000000 2576.8149343471
8486.2500000000 2581.5292134029
8486.5000000000 2581.5947759274
8486.7500000000 2577.9868001122
8487.0000000000 2571.9186871457
8487.2500000000 2566.9779229819
8487.5000000000 2568.2587033767
8487.7500000000 2570.6614042142
8488.0000000000 2569.4131251338
8488.2500000000 2572.4665231103
8488.5000000000 2572.9523420998
8488.7500000000 2572.3755918585
8489.0000000000 2573.7135077478
8489.2500000000 2574.9948896766
8489.5000000000 2568.6907354006
8489.7500000000 2554.7962289344
8490.0000000000 2542.3212328252
8490.2500000000 2533.2046875464
8490.5000000000 2532.1736737874
8490.7500000000 2540.0470539424
8491.0000000000 2554.4564558769
8491.2500000000 2564.9735262556
8491.5000000000 2567.4911913750
8491.7500000000 2569.4636421973
8492.0000000000 2569.1496626085
8492.2500000000 2568.2982888830
8492.5000000000 2563.7725112756
8492.7500000000 2564.9615979000
8493.0000000000 2561.4815320670
8493.2500000000 2554.5366071362
8493.5000000000 2544.3554992800
8493.7500000000 2532.8069476466
8494.0000000000 2517.1828258805
8494.2500000000 2497.2896987452
8494.5000000000 2495.7477818408
8494.7500000000 2514.7073286979
8495.0000000000 2530.1162234406
8495.2500000000 2532.6439533290
8495.5000000000 2523.1328592428
8495.7500000000 2511.2721939108
8496.0000000000 2500.6331245699
8496.2500000000 2502.0297055805
8496.5000000000 2505.6464404791
8496.7500000000 2506.2171899071
8497.0000000000 2499.7679177849
8497.2500000000 2491.1369223585
8497.5000000000 2476.3566222678
8497.7500000000 2452.0612610448
8498.0000000000 2417.1263837191
8498.2500000000 2371.9853534127
8498.5000000000 2322.3644130666
8498.7500000000 2272.5394609586
8499.0000000000 2203.1112770620
8499.2500000000 2100.0802791684
8499.5000000000 1947.1054830987
8499.7500000000 1739.4265542895
8500.0000000000 1487.2212495933
8500.2500000000 1296.1051274038
8500.5000000000 1313.8721482866
8500.7500000000 1521.6238064223
8501.0000000000 1770.7571171155
8501.2500000000 1968.4692261732
8501.5000000000 2111.4909081226
8501.7500000000 2216.1759087403
8502.0000000000 2295.4405314797
8502.2500000000 2351.6240984414
8502.5000000000 2396.0816122544
8502.7500000000 2427.3169024295
8503.0000000000 2450.5066567341
8503.2500000000 2462.2005610494
8503.5000000000 2449.5963189360
8503.7500000000 2418.1608610780
8504.0000000000 2392.8033290678
8504.2500000000 2380.7231495012
8504.5000000000 2379.0674879226
8504.7500000000 2406.4730071474
8505.0000000000 2456.2353352686
8505.2500000000 2495.1054206195
8505.5000000000 2512.6034544257
8505.7500000000 2520.7719961634
8506.0000000000 2524.2726629584
8506.2500000000 2527.2287757644
8506.5000000000 2527.2622495756
8506.7500000000 2526.0594617767
8507.0000000000 2521.5768286001
8507.2500000000 2516.7083469169
8507.5000000000 2520.1127180602
8507.7500000000 2530.6298438529
8508.0000000000 2546.2604404383
8508.2500000000 2548.5143963585
8508.5000000000 2549.7768503215
8508.7500000000 2543.6619765765
8509.0000000000 2541.7701689947
8509.2500000000 2550.5192822294
8509.5000000000 2556.2449727315
8509.7500000000 2559.8726928719
8510.0000000000 2559.5058738861
8510.2500000000 2558.4222002551
8510.5000000000 2559.6402356707
8510.7500000000 2559.9812388500
8511.0000000000 2562.1321933737
8511.2500000000 2560.0411198110
8511.5000000000 2560.3837638240
8511.7500000000 2557.2352760273
8512.0000000000 2549.8295131248
8512.2500000000 2540.8805915273
8512.5000000000 2531.4065725147
8512.7500000000 2534.7623451554
8513.0000000000 2540.9233982597
8513.2500000000 2539.6516505491
8513.5000000000 2540.4831236139
8513.7500000000 2543.5110074831
8514.0000000000 2544.4178602236
8514.2500000000 2543.5687583468
8514.5000000000 2546.3509848301
8514.7500000000 2547.6146599445
8515.0000000000 2546.8558989259
8515.2500000000 2543.3070562996
8515.5000000000 2533.2595955491
8515.7500000000 2482.1591006971
8516.0000000000 2342.5926911778
8516.2500000000 2151.2242383094
8516.5000000000 2090.4803384508
8516.7500000000 2179.2641830130
8517.0000000000 2244.8549720960
8517.2500000000 2223.3271178891
8517.5000000000 2235.8140482397
8517.7500000000 2351.4665333358
8518.0000000000 2470.8683585837
8518.2500000000 2524.4293016978
8518.5000000000 2541.2515600882
8518.7500000000 2547.2317826125
8519.0000000000 2544.0527988271
8519.2500000000 2528.9970338986
8519.5000000000 2518.2092904618
8519.7500000000 2521.1793924055
8520.0000000000 2512.7205481758
8520.2500000000 2487.3728066198
8520.5000000000 2462.6838263834
8520.7500000000 2467.4125984289
8521.0000000000 2497.9078241178
8521.2500000000 2519.7018977525
8521.5000000000 2529.3370095472
8521.7500000000 2536.6628618238
8522.0000000000 2543.1239068138
8522.2500000000 2547.6941848147
8522.5000000000 2548.7726736518
8522.7500000000 2541.3571222971
8523.0000000000 2532.3237090507
8523.2500000000 2525.4195877403
8523.5000000000 2521.9521830483
8523.7500000000 2528.1759056457
8524.0000000000 2532.9088133893
8524.2500000000 2535.8319857523
8524.5000000000 2535.6051235836
8524.7500000000 2534.1307997000
8525.0000000000 2531.4600551135
8525.2500000000 2526.7759472295
8525.5000000000 2522.3857998247
8525.7500000000 2520.0728827376
8526.0000000000 2530.0347870864
8526.2500000000 2535.9501004901
8526.5000000000 2537.1636163100
8526.7500000000 2536.3478560062
8527.0000000000 2528.7882435114
8527.2500000000 2523.5723846576
8527.5000000000 2517.0463632491
8527.7500000000 2508.6052842965
8528.0000000000 2496.2297228788
8528.2500000000 2484.5170023278
8528.5000000000 2451.6266096841
8528.7500000000 2373.4273687833
8529.0000000000 2292.7906762818
8529.2500000000 2256.4355046962
8529.5000000000 2249.3195351434
8529.7500000000 2299.3264443189
8530.0000000000 2394.1906111794
8530.2500000000 2464.6906647819
8530.5000000000 2497.5094258117
8530.7500000000 2508.2446655550
8531.0000000000 2510.2719729398
8531.2500000000 2510.9057068249
8531.5000000000 2511.0943960718
8531.7500000000 2505.1932200844
8532.0000000000 2497.7096892116
8532.2500000000 2492.2340852618
8532.5000000000 2492.4646853933
8532.7500000000 2492.8211401554
8533.0000000000 2495.6311946659
8533.2500000000 2496.2282144912
8533.5000000000 2488.3551500676
8533.7500000000 2477.3794228872
8534.0000000000 2468.6163505283
8534.2500000000 2469.4553517154
8534.5000000000 2477.2576473201
8534.7500000000 2478.3872229588
8535.0000000000 2475.3215530405
8535.2500000000 2469.4903550764
8535.5000000000 2463.9169418960
8535.7500000000 2459.1790340021
8536.0000000000 2455.9454024859
8536.2500000000 2451.1238250963
8536.5000000000 2443.2215044916
8536.7500000000 2435.9215931629
8537.0000000000 2428.0764100490
8537.2500000000 2421.0740558889
8537.5000000000 2408.2904953357
8537.7500000000 2393.4067659284
8538.0000000000 2361.8840579200
8538.2500000000 2310.0766140144
8538.5000000000 2273.5661848185
8538.7500000000 2278.9457510084
8539.0000000000 2304.8571284770
8539.2500000000 2309.8227491152
8539.5000000000 2297.2418260588
8539.7500000000 2273.7910818856
8540.0000000000 2238.7535335450
8540.2500000000 2198.0200185183
8540.5000000000 2166.2248002023
8540.7500000000 2142.2631146085
8541.0000000000 2117.6032430640
8541.2500000000 2081.4665641140
8541.5000000000 2037.9766288605
8541.7500000000 1987.5797636851
8542.0000000000 1941.2917293478
8542.2500000000 1883.5148582276
8542.5000000000 1819.9694771238
8542.7500000000 1751.5166610662
8543.0000000000 1671.7493390395
8543.2500000000 1583.2078740350
8543.5000000000 1481.4963122526
8543.7500000000 1356.2830910672
8544.0000000000 1201.8447904586
8544.2500000000 1056.8896354974
8544.5000000000 1019.1611695585
8544.7500000000 1121.1625888150
8545.0000000000 1276.5148625219
8545.2500000000 1410.2541177174
8545.5000000000 1517.1585901495
8545.7500000000 1614.3475721771
8546.0000000000 1703.0090015050
8546.2500000000 1778.6443770723
8546.5000000000 1850.2675465284
8546.7500000000 1914.2167148424
8547.0000000000 1976.4309722903
8547.2500000000 2027.6479108423
8547.5000000000 2074.2697748304
8547.7500000000 2118.4173587644
8548.0000000000 2153.8142360395
8548.2500000000 2185.3201966974
8548.5000000000 2213.7040966472
8548.7500000000 2236.2097542094
8549.0000000000 2260.7449802876
8549.2500000000 2287.7936183083
8549.5000000000 2307.5087352210
8549.7500000000 2315.5734364345
8550.0000000000 2309.0380983965
8550.2500000000 2296.5869563529
8550.5000000000 2308.4506926690
8550.7500000000 2337.3312830775
8551.0000000000 2355.6125606050
8551.2500000000 2362.8379768686
8551.5000000000 2379.4321223013
8551.7500000000 2403.1826661449
8552.0000000000 2421.2240010216
8552.2500000000 2419.2624501230
8552.5000000000 2407.4890658854
8552.7500000000 2396.9921670313
8553.0000000000 2403.8040449064
8553.2500000000 2420.1550130406
8553.5000000000 2436.3102019090
8553.7500000000 2454.0479601579
8554.0000000000 2468.4068908550
8554.2500000000 2475.8621235082
8554.5000000000 2479.4622802711
8554.7500000000 2481.1072113544
8555.0000000000 2486.4888094431
8555.2500000000 2485.3945779364
8555.5000000000 2488.1377663357
8555.7500000000 2491.1784890688
8556.0000000000 2495.4485616800
8556.2500000000 2496.9700318352
8556.5000000000 2496.9339200900
8556.7500000000 2496.7408548401
8557.0000000000 2493.2965623138
8557.2500000000 2482.7866868910
8557.5000000000 2468.9100303219
8557.7500000000 2456.5253701919
8558.0000000000 2455.5526188907
8558.2500000000 2465.6458009547
8558.5000000000 2449.0776651199
